source_file,level,index,word,ja_translation,phrase,phrase_repeat,raw_text
TOEIC_kin_kaitei_01.mp3,level_600,1,anyway,とにかくやってみよう。,Let's try [anyway].,Let's try [anyway].,anyway | とにかくやってみよう。 | Let's try [anyway]. | Let's try [anyway].
TOEIC_kin_kaitei_01.mp3,level_600,2,following,会議の後、我々はランチをとった。,"[Following] the meeting, we had lunch.","[Following] the meeting, we had lunch.","[follow it] | 会議の後、我々はランチをとった。 | Following the meeting, we had lunch. | Following the meeting, we had lunch."
TOEIC_kin_kaitei_01.mp3,level_600,3,refer,地図を参照してください。,Please [refer] to the map.,Please [refer] to the map.,refer | 地図を参照してください。 | Please [refer] to the map. | Please [refer] to the map.
TOEIC_kin_kaitei_01.mp3,level_600,4,employee,会社の全従業員,all company [employees],all company [employees],employee | 会社の全従業員。 | All company [employees]. | all company [employees].
TOEIC_kin_kaitei_01.mp3,level_600,5,offer,男性は何をすることを申し出ていますか。,What does the man [offer] to do?,What does the man [offer] to do?,offer | 男性は何をすることを申し出ていますか。 | What does the man [offer] to do? | What does the man [offer] to do?
TOEIC_kin_kaitei_01.mp3,level_600,6,likely,話し手はおそらくどこで働いていますか。,Where do the speakers most [likely] work?,Where do the speakers most [likely] work?,likely | 話してはおそらくどこで働いていますか。 | Where do the speakers most [likely] work? | Where do the speakers most [likely] work?
TOEIC_kin_kaitei_01.mp3,level_600,7,provide,製品に関する情報を提供する。,[provide] information about a product.,[provide] information about a product.,provide | 製品に関する情報を提供する。 | [provide] information about a product. | [provide] information about a product.
TOEIC_kin_kaitei_01.mp3,level_600,8,available,チケットはオンラインで入手可能です。,Tickets are [available] online.,Tickets are [available] online.,available | チケットはオンラインで入手可能です。 | Tickets are [available] online. | Tickets are [available] online.
TOEIC_kin_kaitei_01.mp3,level_600,9,conference,会議で話す,Speak at a [conference],Speak at a [conference],conference | 会議で話す。 | Speak at a [conference]. | Speak at a [conference].
TOEIC_kin_kaitei_01.mp3,level_600,10,purchase,本を購入する,[purchase] a book,[purchase] a book,purchase | 本を購入する。 | [purchase] a book. | [purchase] a book.
TOEIC_kin_kaitei_01.mp3,level_600,11,include,料金には朝食を含みます。,The price [includes] breakfast.,The price [includes] breakfast.,include | 料金には朝食を含みます。 | The price [includes] breakfast. | The price [includes] breakfast.
TOEIC_kin_kaitei_01.mp3,level_600,12,department,営業部,The sales [department],The sales [department],department | 営業部 | The sales [department]. | The sales [department].
TOEIC_kin_kaitei_01.mp3,level_600,13,contact,マネージャーに連絡する,[contact] the manager,[contact] the manager,contact | マネージャーに連絡する。 | [contact] the manager. | [contact] the manager.
TOEIC_kin_kaitei_01.mp3,level_600,14,according to,話してによれば、何が変わりましたか。,"[According to] the speaker, what has changed?","[According to] the speaker, what has changed?","according to | 話してによれば何が変わりましたか。 | [according to] the speaker, what has changed? | [according to] the speaker, what has changed?"
TOEIC_kin_kaitei_01.mp3,level_600,15,client,顧客と会う,meet with a [client],meet with a [client],client | ご客と会う。 | Meet with a [client]. | Meet with a [client].
TOEIC_kin_kaitei_01.mp3,level_600,16,review,プレゼンを見直す,[review] a presentation,[review] a presentation,review | プレゼンを見直す。 | [review] a presentation. | [review] a presentation.
TOEIC_kin_kaitei_01.mp3,level_600,17,indicate,ホテルについて何が示されていますか。,What is [indicated] about the hotel?,What is [indicated] about the hotel?,indicate | ホテルについて何が示されていますか。 | What is [indicated] about the hotel? | What is [indicated] about the hotel?
TOEIC_kin_kaitei_01.mp3,level_600,18,attend,ワークショップに出席する,[attend] a workshop,[attend] a workshop,attend | ワークショップに出席する。 | [attend] a workshop. | [attend] a workshop.
TOEIC_kin_kaitei_01.mp3,level_600,19,hire,新しいスタッフを雇う,[hire] new staff,[hire] new staff,higher | 新しいスタッフをやっとん。 | [higher] new staff. | [higher] new staff.
TOEIC_kin_kaitei_01.mp3,level_600,20,local,地元の会社,[local] businesses,[local] businesses,local | 地元の会社。 | [local] businesses. | [local] businesses.
TOEIC_kin_kaitei_01.mp3,level_600,21,repair,コンピュータを修理する,[repair] a computer,[repair] a computer,repair | コンピュータを修理する。 | [repair] a computer. | [repair] a computer.
TOEIC_kin_kaitei_01.mp3,level_600,22,article,記事を書く,write an [article],write an [article],article | 記事を書く。 | Write an [article]. | Write an [article].
TOEIC_kin_kaitei_01.mp3,level_600,23,update,スケジュールを更新する,[update] a schedule,[update] a schedule,update | ケジュールを更新する。 | [update] a schedule. | [update] a schedule.
TOEIC_kin_kaitei_01.mp3,level_600,24,advertise,清掃サービスを宣伝する,[advertise] a cleaning service,[advertise] a cleaning service,advertise | 製造サービスを宣伝する。 | [advertise] a cleaning service. | [advertise] a cleaning service.
TOEIC_kin_kaitei_01.mp3,level_600,25,equipment,事務機器を購入する,purchase office [equipment],purchase office [equipment],equipment | 事務機器を購入する。 | Purchase office [equipment]. | Purchase office [equipment].
TOEIC_kin_kaitei_01.mp3,level_600,26,increase,コストが増加するかもしれない,The cost may [increase],The cost may [increase],increase | コストが増加するかもしれない。 | The cost may [increase]. | The cost may [increase].
TOEIC_kin_kaitei_01.mp3,level_600,27,opening,求人を掲載する,post a job [opening],post a job [opening],opening | 旧人を掲載する。 | opposed to job [opening]. | opposed to job [opening].
TOEIC_kin_kaitei_01.mp3,level_600,28,ship,ご注文は昨日発送されました。,Your order was [shipped] yesterday.,Your order was [shipped] yesterday.,ship | ご注文は昨日発送されました。 | Your order was [shipped] yesterday. | Your order was [shipped] yesterday.
TOEIC_kin_kaitei_01.mp3,level_600,29,expect,パテルさんは明日到着する予定だ。,Ms. Patel is [expected] to arrive tomorrow.,Ms. Patel is [expected] to arrive tomorrow.,expect | パテルさんは明日到着する予定だ。 | Ms Patel is [expected] to arrive tomorrow. | Ms. Patel is [expected] to arrive tomorrow.
TOEIC_kin_kaitei_01.mp3,level_600,30,recently,私は最近メールアドレスを変えました。,I [recently] changed my email address.,I [recently] changed my email address.,recently | 私は最近メールアドレスを買いました。 | I [recently] changed my email address. | I [recently] changed my email address.
TOEIC_kin_kaitei_01.mp3,level_600,31,delivery,配達日を変更する,change of [delivery] date,change of [delivery] date,delivery | 配達日を変更する。 | Change of [delivery] date. | Change of [delivery] date.
TOEIC_kin_kaitei_01.mp3,level_600,32,supply,事務用品,office supplies,office supplies,supply | 事務用品。 | Office [supply]. | Office supplies.
TOEIC_kin_kaitei_01.mp3,level_600,33,feature,そのイベントはライブ演奏を呼び物にする予定だ。,The event will [feature] live music.,The event will [feature] live music.,feature | そのイベントはライブ演奏を呼び物にする予定だ。 | The event will [feature] live music. | The event will [feature] live music.
TOEIC_kin_kaitei_01.mp3,level_600,34,require,スタッフは制服の着用を求められます。,Staff are [required] to wear uniform.,Staff are [required] to wear uniform.,require | タフは制服の着用を求められます。 | Staff are [required] to wear uniforms. | Staff are [required] to wear uniform.
TOEIC_kin_kaitei_01.mp3,level_600,35,process,面接の過程,the interview [process],the interview [process],[proceed] | 面接の過程。 | the interview process. | the interview process.
TOEIC_kin_kaitei_01.mp3,level_600,36,construction,建設会社,a [construction] company,a [construction] company,construction | 建設会社。 | a [construction] company. | A [construction] company.
TOEIC_kin_kaitei_01.mp3,level_600,37,charge,そのサービスは無料で提供されます。,The service is provided free of [charge].,The service is provided free of [charge].,[chart] | そのサービスは無料で提供されます。 | The service is provided free of charge. | The service is provided free of charge.
TOEIC_kin_kaitei_01.mp3,level_600,38,material,建設資材,construction [materials],construction [materials],material | 検接次第。 | Construction [material]. | Construction [materials].
TOEIC_kin_kaitei_01.mp3,level_600,39,survey,アンケートに記入する,complete a [survey],complete a [survey],survey | アンケートに記入する。 | Complete a [survey]. | Complete a [survey].
TOEIC_kin_kaitei_01.mp3,level_600,40,submit,用紙を提出する,[submit] a form,[submit] a form,submit | 用紙を停止する。 | [submit] a form. | [submit] a form.
TOEIC_kin_kaitei_01.mp3,level_600,41,create,ウェブサイトを作る,[create] a website,[create] a website,create | ウェブサイトを作る。 | [create] a website. | [create] a website.
TOEIC_kin_kaitei_01.mp3,level_600,42,budget,予算を増やす,increase the [budget],Increase the [budget],budget | 予算を増やす。 | increase the [budget]. | Increase the [budget].
TOEIC_kin_kaitei_01.mp3,level_600,43,appointment,医師の予約を取る,make an [appointment] with a doctor,make an [appointment] with a doctor,appointment | 医師の予約を取る。 | Make an [appointment] with a doctor. | Make an [appointment] with a doctor.
TOEIC_kin_kaitei_01.mp3,level_600,44,additional,追加情報を求める,Request [additional] information,Request [additional] information,additional | 追加情報を求める。 | Request [additional] information. | Request [additional] information.
TOEIC_kin_kaitei_01.mp3,level_600,45,application,申し込み用紙に記入する,fill out an [application],fill out an [application],application | 申し込み用紙に記入する。 | fill out an [application]. | fill out an [application].
TOEIC_kin_kaitei_01.mp3,level_600,46,production,高い生産コスト,high [production] costs,high [production] costs,production | 高い生産コスト。 | high [production] cost. | high [production] costs.
TOEIC_kin_kaitei_01.mp3,level_600,47,fee,追加料金を支払う,pay an additional [fee],pay an additional [fee],fee | 水化料金を支払う。 | Pay an additional [fee]. | Pay an additional [fee].
TOEIC_kin_kaitei_01.mp3,level_600,48,recommend,早く着くことを勧める,[recommend] arriving early,[recommend] arriving early,recommend | 早く着くことを進める。 | [recommend] arriving early. | [recommend] arriving early.
TOEIC_kin_kaitei_01.mp3,level_600,49,award,受賞する,receive an [award],receive an [award],award | 受賞する。 | Receive an [award]. | Receive an [award].
TOEIC_kin_kaitei_01.mp3,level_600,50,delay,飛行機が遅れている,The flight is [delayed],The flight is [delayed],delay | 後期が遅れている。 | The flight is [delayed]. | The flight is [delayed].
TOEIC_kin_kaitei_01.mp3,level_600,51,policy,返品規定,A return [policy],A return [policy],policy | 返品起点。 | A return [policy]. | A return [policy].
TOEIC_kin_kaitei_01.mp3,level_600,52,contract,契約書に署名する,sign a [contract],sign a [contract],contract | 契約書に署名する。 | Sign a [contract]. | Sign a [contract].
